Mã giao dịch,Ngày bán,Tên mặt hàng,Mã sản phẩm,Số lượng,Đơn giá,Thành tiền,Mã nhân viên,Phương thức thanh toán,Mã khách hàng,Thành phố
HD0500001,2025-05-09 15:59,Bánh gạo One One,SP014,10,10000,100000,NV020,MoMo,KH214,Cà Mau
HD0500002,2025-05-06 08:09,Trà lipton túi lọc hộp 25 gói,SP052,6,42000,252000,NV023,Tiền mặt,KH395,Cà Mau
HD0500003,2025-05-28 09:27,Bìa nhựa 2 mặt,SP067,10,8000,80000,NV017,ZaloPay,,Kiên Giang
HD0500004,2025-05-27 12:42,Bìa còng A4,SP081,5,22000,110000,NV024,Thẻ,KH232,Quảng Bình
HD0500005,2025-05-23 10:47,Snack Lay’s vị khoai tây,SP005,10,12000,120000,NV012,Thẻ,KH325,Hải Phòng
HD0500006,2025-05-13 19:28,Chổi lau nhà 360 độ,SP096,7,99000,693000,NV037,Thẻ,KH303,Hòa Bình
HD0500007,2025-05-20 16:05,Chổi lau nhà 360 độ,SP096,8,99000,792000,NV015,Tiền mặt,KH556,Bắc Ninh
HD0500008,2025-05-17 10:46,Bình nước giữ nhiệt 500ml,SP072,6,65000,390000,NV050,Thẻ,KH701,Hưng Yên
HD0500009,2025-05-10 19:30,Gia vị nấu bún bò Huế,SP100,7,24000,168000,NV028,Tiền mặt,,Hải Phòng
HD0500010,2025-05-25 13:23,Nước xả Comfort,SP040,1,52000,52000,NV045,Chuyển khoản,,Long An
HD0500011,2025-05-14 07:00,Bánh gạo One One,SP014,10,10000,100000,NV011,Tiền mặt,KH121,Bạc Liêu
HD0500012,2025-05-14 12:02,Túi zipper đựng đồ,SP080,3,10000,30000,NV035,MoMo,KH887,TP Hồ Chí Minh
HD0500013,2025-05-15 08:30,Bột giặt Omo 400g,SP039,9,18000,162000,NV003,MoMo,KH427,Quảng Ngãi
HD0500014,2025-05-10 05:16,Trà xanh không độ,SP019,5,10000,50000,NV022,Tiền mặt,KH282,Đồng Nai
HD0500015,2025-05-08 09:43,Bột giặt Omo 400g,SP039,10,18000,180000,NV044,MoMo,,Nghệ An
HD0500016,2025-05-01 13:34,Kẹp bướm 32mm,SP084,6,5000,30000,NV026,Chuyển khoản,KH900,An Giang
HD0500017,2025-05-10 20:20,Muối i-ốt 500g,SP043,4,7000,28000,NV043,Thẻ,KH050,Long An
HD0500018,2025-05-05 04:02,Muối i-ốt 500g,SP043,3,7000,21000,NV041,ZaloPay,KH382,Quảng Bình
HD0500019,2025-05-17 15:46,Kem đánh răng P/S 100g,SP033,5,21000,105000,NV012,MoMo,KH336,Vĩnh Long
HD0500020,2025-05-09 02:04,Trà xanh không độ,SP019,5,10000,50000,NV035,Tiền mặt,,Vĩnh Long
HD0500021,2025-05-07 07:51,Snack Oishi tôm cay,SP006,8,10000,80000,NV005,Tiền mặt,KH893,Lạng Sơn
HD0500022,2025-05-01 01:52,Snack Lay’s vị khoai tây,SP005,9,12000,108000,NV042,Thẻ,,Bắc Ninh
HD0500023,2025-05-22 17:23,Kẹp bướm 32mm,SP084,2,5000,10000,NV004,MoMo,KH284,Tiền Giang
HD0500024,2025-05-13 17:56,Tương ớt Cholimex,SP098,5,12000,60000,NV034,ZaloPay,KH283,Bình Định
HD0500025,2025-05-03 05:58,Sữa tươi Vinamilk không đường 180ml,SP008,10,6500,65000,NV019,MoMo,KH501,Bình Phước
